2025-03-23 23:00:22|DEPOSIT|£2000
2025-03-23 23:27:24|DEPOSIT|£100
2025-03-23 23:32:24|WITHDRAWAL|£100
2025-03-23 23:33:36|WITHDRAWAL|£100
2025-03-23 23:58:16|DEPOSIT|£2932
2025-03-23 23:58:18|DEPOSIT|£8433
2025-03-23 23:58:19|DEPOSIT|£4.93894e+06
2025-03-23 23:58:23|DEPOSIT|£8.93984e+08
2025-03-23 23:59:19|WITHDRAWAL|£38929
2025-03-23 23:59:47|WITHDRAWAL|£3.89829e+07
2025-03-24 00:00:50|WITHDRAWAL|£3.48293e+06
2025-03-24 00:02:31|FOREIGN DEPOSIT|£2000
2025-03-24 00:03:17|FOREIGN DEPOSIT|£599
2025-03-31 14:29:21|DEPOSIT|£1
2025-04-03 15:18:51|DEPOSIT|£1000
2025-04-03 17:07:01|TRANSFER_OUT|£100
2025-04-03 17:07:30|TRANSFER_IN|£20
2025-04-03 17:33:43|TRANSFER TO SAVINGS|GBP|£500
2025-04-03 17:33:57|TRANSFER FROM SAVINGS|GBP|£100
2025-04-03 17:34:39|FOREIGN DEPOSIT|USD|£1000
2025-04-03 17:35:07|FOREIGN DEPOSIT|EUR|£100
2025-04-03 17:35:21|FOREIGN DEPOSIT|USD|£100
2025-04-03 20:00:01|TRANSFER TO SAVINGS|GBP|£100
2025-04-03 20:01:59|TRANSFER TO SAVINGS|GBP|£100
2025-04-03 20:03:19|TRANSFER TO SAVINGS|GBP|£100
2025-04-03 20:39:57|TRANSFER TO SAVINGS|GBP|£100
2025-04-03 20:40:58|TRANSFER FROM SAVINGS|GBP|£10
2025-04-03 20:42:11|TRANSFER TO SAVINGS|GBP|£10
2025-04-03 20:57:00|TRANSFER TO SAVINGS|GBP|£10
2025-04-03 20:57:07|TRANSFER FROM SAVINGS|GBP|£9
2025-04-03 20:57:10|TRANSFER TO SAVINGS|GBP|£100
2025-04-03 20:59:35|TRANSFER TO SAVINGS|GBP|£100
2025-04-03 20:59:38|TRANSFER TO SAVINGS|GBP|£422
2025-04-03 20:59:47|TRANSFER FROM SAVINGS|GBP|£22
2025-04-03 20:59:54|TRANSFER TO SAVINGS|GBP|£1
2025-04-03 21:00:11|TRANSFER TO SAVINGS|GBP|£100
2025-04-03 21:55:51|TRANSFER TO SAVINGS|GBP|£1000
2025-04-03 21:58:21|TRANSFER FROM SAVINGS|GBP|£100
2025-04-03 22:03:31|DEPOSIT|GBP|£1000
2025-04-03 22:03:41|FOREIGN DEPOSIT|USD|£1000
2025-04-03 22:03:58|DEPOSIT|GBP|£20
2025-04-03 22:04:07|FOREIGN DEPOSIT|EUR|£1000
2025-04-03 22:30:17|TRANSFER TO SAVINGS|GBP|£100
2025-04-03 22:40:50|TRANSFER TO SAVINGS|GBP|£100
2025-04-03 22:40:57|TRANSFER FROM SAVINGS|GBP|£100
2025-04-03 22:41:22|FOREIGN DEPOSIT|USD|£100
